store_name,#뷰맛집,#사진명소,#힐링코스,#분위기좋은,#이색체험,#야경명소,#계절명소,#아이와함께,#가족여행,#데이트코스,#우정여행,#혼자여행,#찐맛집,#디저트맛집,#가성비갑,#양푸짐,#주차편함,#친절해요,#넓은공간,#접근성좋은,#청결한,#웨이팅필수,#산책하기좋은,#역사탐방,#전시관람,#액티비티,#실내데이트,#반려동물동반,#무료입장,#휴식하기좋은
한국민속촌,0.047555618,0.11722562,0.03960815,0.04696187,0.29305297,0.055745143,0.20358893,0.28262195,0.08904211,0.024143482,0.031888027,0.0103320535,0.086306356,0.021589454,0.053019494,0.015580837,0.06955472,0.081582256,0.022412915,0.05243105,0.035906643,0.13032258,0.04823191,0.017057111,0.029653432,0.114654474,0.030291596,0.01367119,0.038081855,0.069654934
한림공원,0.038918294,0.15045656,0.09235002,0.0388648,0.071055695,0.01001767,0.26557988,0.13762932,0.11811315,0.015097044,0.017101852,0.031010536,0.015129083,0.013956503,0.034228217,0.019197948,0.02761136,0.023248447,0.091117755,0.05645547,0.11789974,0.087655194,0.21053071,0.015852999,0.06800215,0.010419326,0.1336466,0.024658771,0.07203449,0.21335776
한반도지형,0.20395803,0.091156654,0.02790272,0.045674954,0.02552192,0.0020736086,0.09517465,0.054778796,0.031025685,0.0064175455,0.008077597,0.002134052,0.007268934,0.0067484993,0.02014172,0.006921735,0.22882143,0.017452184,0.008417393,0.0241134,0.016698057,0.01341165,0.1364892,0.004189702,0.0032157993,0.002146748,0.015744187,0.012209545,0.034586936,0.12534569
합천영상테마파크,0.02374009,0.19757427,0.02223419,0.019419916,0.1494802,0.00344336,0.12702967,0.14629738,0.10128548,0.026749594,0.021918816,0.009823161,0.038260154,0.020118633,0.0296398,0.00854739,0.024655933,0.04391521,0.057163082,0.044915702,0.06005182,0.053646795,0.0412271,0.010178445,0.034255117,0.0046126274,0.03631165,0.01963045,0.052144546,0.047359068
해운대,0.24402805,0.04373338,0.060536593,0.04363911,0.033959858,0.043964926,0.11257331,0.03265815,0.033410575,0.019134026,0.019631544,0.010951465,0.05377722,0.13849762,0.00973521,0.0057180463,0.037341125,0.045663364,0.0056763897,0.098297514,0.036085237,0.033912078,0.08456958,0.0094544375,0.027729075,0.0033344992,0.062190454,0.0067953966,0.017672788,0.13916397
해피초원목장,0.1894491,0.18637799,0.06671262,0.027932001,0.15736078,0.0033126015,0.105302036,0.2039271,0.033768903,0.044991598,0.024056824,0.013288465,0.034417894,0.024530476,0.023453437,0.01279789,0.015221482,0.03669965,0.018959086,0.02161795,0.027276624,0.045224775,0.04406406,0.0031580662,0.009135263,0.004776561,0.022435002,0.019591155,0.042445205,0.04489955
허브아일랜드,0.07057094,0.34805363,0.1592044,0.067086756,0.10733886,0.1243939,0.16686349,0.17037354,0.086253695,0.106199294,0.033474497,0.01637184,0.023509022,0.07748683,0.017900277,0.0061330535,0.02093453,0.05207453,0.03688545,0.024688665,0.1535812,0.07732602,0.08670897,0.0050068605,0.017827978,0.022279207,0.031832695,0.024066063,0.08786895,0.10710815
헤이리 예술마을,0.022815155,0.052930374,0.052958515,0.034707267,0.13991505,0.003817059,0.07988551,0.059872378,0.043213096,0.048694562,0.039466333,0.01313708,0.0354211,0.06804217,0.0115304,0.010502567,0.0732297,0.04322542,0.028619107,0.030931318,0.021891799,0.027946273,0.08530687,0.023659421,0.064666905,0.004932903,0.014401752,0.025935972,0.02332985,0.10682204
현대 모터스튜디오 고양,0.0055703386,0.06730621,0.009497701,0.014284561,0.2488086,0.0046075233,0.011554019,0.6678528,0.03491549,0.007963473,0.010044013,0.0027419534,0.02366466,0.056761812,0.020858783,0.0034588855,0.049360164,0.046061236,0.028342236,0.03668428,0.027883764,0.11126497,0.003763594,0.006194697,0.24932137,0.0063867145,0.018423889,0.0030261537,0.03369569,0.0072688973
현대백화점 더현대 서울,0.014558866,0.017949728,0.011813166,0.028290417,0.032185856,0.005016012,0.02016707,0.029315284,0.005306032,0.0050488203,0.007320099,0.011137813,0.06232834,0.07229907,0.023396973,0.014122341,0.035999168,0.07279056,0.01427737,0.019532934,0.023249555,0.029555902,0.004917717,0.0024793118,0.013564626,0.0020011081,0.00802599,0.005931094,0.010988775,0.0086001875
협재해수욕장,0.41014445,0.12676921,0.07238106,0.063375644,0.029550742,0.021651724,0.12792349,0.11214014,0.026233587,0.0045303376,0.008305174,0.006552471,0.04625307,0.042553842,0.00956454,0.0030921465,0.06335714,0.010158793,0.0027977102,0.06496456,0.07124627,0.028987432,0.047297917,0.004373975,0.0032572525,0.0028213724,0.030079065,0.006243907,0.016057245,0.064708725
호미곶,0.25626472,0.16970822,0.040217273,0.029755412,0.049969155,0.013844974,0.15636633,0.054446142,0.036559388,0.01624344,0.01055219,0.008452224,0.026615378,0.015230988,0.014507592,0.0029332663,0.058384307,0.03863175,0.021498458,0.042413812,0.040347993,0.029293302,0.041490808,0.0037447242,0.018036837,0.0024942607,0.043526173,0.010630888,0.02383984,0.062954485
화담숲,0.13210015,0.120824605,0.091255605,0.063787945,0.03697758,0.00679426,0.40245435,0.06520459,0.070293285,0.012373426,0.015664142,0.006678996,0.14375521,0.024156807,0.03198527,0.017055774,0.04812949,0.031221597,0.017679952,0.046251424,0.04485693,0.16725214,0.20012829,0.007061737,0.03085922,0.0057688206,0.03884358,0.0069636237,0.025475072,0.20070301
화성행궁,0.067509376,0.09863033,0.037316263,0.06515591,0.07333709,0.08697744,0.11162598,0.092490174,0.033299252,0.020913828,0.026968934,0.006470151,0.026949216,0.045821752,0.009049085,0.009484517,0.04248294,0.024904162,0.039814778,0.08866521,0.029745555,0.044620782,0.1611784,0.058123417,0.04356004,0.006017856,0.03036896,0.006512865,0.03511488,0.15189902
화암동굴,0.030176105,0.026226133,0.014056371,0.017688714,0.068281345,0.0057928595,0.046650916,0.15030007,0.064015135,0.0021195665,0.01574186,0.0016480403,0.005666058,0.0059681716,0.005390315,0.0044069076,0.01981634,0.016636593,0.019770695,0.036198583,0.006510502,0.037448194,0.0123903975,0.030333376,0.050436307,0.0016880652,0.09107483,0.008520652,0.021118257,0.022405371
환선굴,0.016264375,0.018760126,0.028190123,0.02111501,0.047431823,0.004041697,0.088977545,0.09218652,0.05345502,0.0042521986,0.003646152,0.003364909,0.006560975,0.0032511696,0.012453329,0.0020165197,0.03493344,0.017984455,0.0764055,0.022116195,0.013081511,0.08755863,0.014581805,0.0012978541,0.041689564,0.004232718,0.13042895,0.005509161,0.011125577,0.013803386
